"Wavelength" "min195" "min120" "min90" "min60" "min30" "min15" "min5" "min0"
199.408 -0.0676415846849242 -0.186466481180114 -0.207581699346405 -0.102663412563667 -0.224754338281413 0.0707454958524859 0.212851193927574 1.11693190712236
200.004 0.0278117521935655 -0.147304320436768 -0.165176470588235 -0.0594758064516129 -0.191145724440728 -0.0367728641623078 0.378525117284276 1.02995043047221
200.6 -0.231906407870247 -0.262480970129666 -0.198640522875817 -0.282576400679117 -0.0995713987037424 -0.156865853014212 0.195719782826419 0.957161492303678
201.196 -0.274182398298325 -0.215916846028663 -0.27759477124183 -0.128766977928693 -0.193236462471252 -0.230887092513341 0.248115544778873 1.04586485781372
201.792 0.0124966764158468 -0.0903984461126568 -0.0390065359477124 -0.091893039049236 0.0809638302320719 0.290167485602578 0.499235675504718 1.18617271067049
202.388 0.19223610741824 0.0630479290251457 0.0527581699346405 0.163890067911715 -0.0204369642483797 0.184656839435727 0.576300669442834 1.2064701278372
202.984 -0.0561552778516352 -0.121791170140165 -0.146457516339869 -0.0813348896434635 -0.0966443654610077 0.0213980028530671 0.499024827368088 0.930602661100965
203.58 0.0212177612337144 -0.054123576040737 -0.110483660130719 -0.16802843803056 -0.0429646665272841 0.196227611348867 0.529914079384324 1.18236368379859
204.176 -0.0237170965168838 -0.202845293716206 -0.108915032679739 -0.0540110356536502 -0.0841522057286222 -0.1195118085275 0.371936113014601 1.04069919123402
204.772 -0.255410795001329 -0.0806866502178592 -0.136732026143791 -0.106005942275042 -0.244355007317583 -0.135098008136525 0.361973538558853 0.947978085050874
205.368 -0.104706195160861 -0.120793742453672 -0.135372549019608 -0.0921583191850594 -0.0958080702487978 -0.0233528821260633 0.394549575668125 1.06637098878163
205.964 -0.106248338207923 -0.129718095438081 -0.133228758169935 -0.098471986417657 -0.0971147815178758 -0.0359803455381201 0.398028569922513 1.06047482389773
206.56 -0.110502525923956 -0.122263635886398 -0.128470588235294 -0.100806451612903 -0.0892222454526448 -0.032281925291911 0.404195877918929 1.06021393164623
207.155 -0.102898165381547 -0.12068875006562 -0.118483660130719 -0.0896116298811545 -0.0890131716495923 -0.0219791831774713 0.408096568446576 1.06663188103313
207.751 -0.0952938048391385 -0.110871961782771 -0.110535947712418 -0.0828735144312394 -0.0830545682625967 -0.0177524171818038 0.421907121395815 1.07659796504044
208.347 -0.103908534964105 -0.123313559766917 -0.118640522875817 -0.0848896434634974 -0.096748902362534 -0.0328102710413695 0.412102683042539 1.06892773284633
208.943 -0.116032969954799 -0.133025355661715 -0.128052287581699 -0.0966680814940577 -0.0994668618022162 -0.0455962381782639 0.402614516894207 1.05755283068093
209.538 -0.11486306833289 -0.133025355661715 -0.120156862745098 -0.0979944821731749 -0.0970625130671127 -0.0422676599566756 0.396025512624532 1.05812679363423
210.134 -0.116617920765754 -0.129718095438081 -0.116915032679739 -0.091893039049236 -0.0908425674263015 -0.0525704020711153 0.394391439565653 1.05457865901383
210.73 -0.13028449880351 -0.139219906556775 -0.123137254901961 -0.106165110356536 -0.106784444909053 -0.0548422887937866 0.395603816351273 1.04883902948082
211.325 -0.122786492954002 -0.142842143944564 -0.122143790849673 -0.0996922750424448 -0.101400794480452 -0.0545252813441116 0.396130936692847 1.05019566918862
211.921 -0.113427279978729 -0.138222478870282 -0.114614379084967 -0.0948641765704584 -0.0947104327827723 -0.0442225392296719 0.399873491118022 1.06277067571093
212.516 -0.124488168040415 -0.150296603496247 -0.120418300653595 -0.100488115449915 -0.105425465189212 -0.0456490727532097 0.383058352221812 1.06386642316723
213.112 -0.12124434990694 -0.149614152973909 -0.11356862745098 -0.0986311544991511 -0.102498431946477 -0.0352406614888783 0.387697011227663 1.05760500913123
213.707 -0.12124434990694 -0.156596146779358 -0.110222222222222 -0.102981748726655 -0.107725277022789 -0.0349236540392033 0.382373095777766 1.04920427863292
214.303 -0.120446689710183 -0.155493726704814 -0.112261437908497 -0.100116723259762 -0.105791344344554 -0.0295873619696729 0.380897158821359 1.04649099921732
214.898 -0.126136665780378 -0.157751063047929 -0.106509803921569 -0.100275891341256 -0.107725277022789 -0.0274211443968933 0.383585472563386 1.03892512392382
215.494 -0.133156075511832 -0.154023833272088 -0.111895424836601 -0.105157045840407 -0.109606941250261 -0.0329159401912611 0.380317326445628 1.03088964257762
216.089 -0.127093858016485 -0.159955903197018 -0.107294117647059 -0.110091256366723 -0.111384068576207 -0.0340254662651239 0.377207316430341 1.03360292199322
216.684 -0.120872108481787 -0.150454092078324 -0.107607843137255 -0.101230899830221 -0.104380096173949 -0.0398372695091668 0.379737494069896 1.05024784763893
217.28 -0.127306567402287 -0.164785553047404 -0.112732026143791 -0.107650679117148 -0.113056659000627 -0.0463887568024515 0.378788677455063 1.03542916775372
217.875 -0.117894177080564 -0.156071184839099 -0.106980392156863 -0.0955539049235993 -0.10087810997282 -0.0348708194642574 0.389910916662274 1.03939472997652
218.47 -0.120978463174688 -0.150454092078324 -0.107921568627451 -0.0889219015280136 -0.0926196947522475 -0.0222961906271464 0.39565652838543 1.04534307331072
219.066 -0.129699547992555 -0.157121108719618 -0.111947712418301 -0.0903013582342954 -0.100616767719005 -0.0323875944418027 0.386168362237099 1.03480302635012
219.661 -0.12650890720553 -0.153026405585595 -0.115921568627451 -0.0974108658743633 -0.0977420029270332 -0.0268927986474349 0.383058352221812 1.03777719801722
220.256 -0.129114597181601 -0.158433513570266 -0.11602614379085 -0.106536502546689 -0.101766673635793 -0.0161145453584826 0.372990353697749 1.01930602661101
220.851 -0.12517947354427 -0.152291458869232 -0.116496732026144 -0.108181239388795 -0.099832740957558 -0.00929888519046863 0.370354751989879 1.02791547091051
221.446 -0.134751395905344 -0.148354244317287 -0.117490196078431 -0.110038200339559 -0.0998850094083211 -0.00945738891530618 0.367719150282009 1.03005478737281
222.042 -0.135336346716299 -0.14767179379495 -0.122666666666667 -0.115662139219015 -0.105686807443027 -0.00517778834469276 0.371250856570555 1.02718497260631
222.637 -0.137357085881415 -0.153026405585595 -0.114509803921569 -0.115078522920204 -0.112638511394522 -0.00232472129761716 0.375151547098203 1.02635011740151
223.232 -0.119808561552779 -0.135072707228726 -0.105830065359477 -0.0975169779286927 -0.0920447417938532 0.0152691921593491 0.382214959675294 1.04174276024002
223.827 -0.125232650890721 -0.137907501706126 -0.104052287581699 -0.11401740237691 -0.0942922851766673 0.0123104559623818 0.379315797796637 1.04169058178972
224.422 -0.133634671629886 -0.146096907974172 -0.113098039215686 -0.120384125636672 -0.0998850094083211 0.00412109684577587 0.370354751989879 1.03276806678842
225.017 -0.115767083222547 -0.14095228095963 -0.109699346405229 -0.118898556876061 -0.0949717750365879 0.0114122681883024 0.379473933899109 1.03955126532742
225.612 -0.109492156341399 -0.138537456034437 -0.115660130718954 -0.115927419354839 -0.0960694125026134 0.0111480953135732 0.381951399504507 1.04555178711192
226.207 -0.114756713639989 -0.143997060213135 -0.122562091503268 -0.119535229202037 -0.0933514530629312 0.00623447984360966 0.381371567128776 1.03829898252022
226.802 -0.110768412656208 -0.140689799989501 -0.116862745098039 -0.121869694397284 -0.0955467279949822 0.00406826227083003 0.381635127299562 1.03636837985912
227.397 -0.100292475405477 -0.138694944616515 -0.117176470588235 -0.115131578947368 -0.0902676144679072 0.0087705394410102 0.38311106425597 1.03871641012262
227.991 -0.0887529912257379 -0.140584807601449 -0.113307189542484 -0.111470713073005 -0.0873928496759356 0.021080995403392 0.376469347952137 1.03313331594052
